127.0.0.1 - - [02/Dec/2022:10:35:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Dec/2022:10:35:01 +0900] "GET /ithub/ HTTP/1.1" 200 5801
0:0:0:0:0:0:0:1 - - [02/Dec/2022:10:35:01 +0900] "GET /ithub/resources/css/style.css HTTP/1.1" 200 117741
0:0:0:0:0:0:0:1 - - [02/Dec/2022:10:35:01 +0900] "GET /ithub/resources/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [02/Dec/2022:10:35:01 +0900] "GET /ithub/resources/css/animate.css HTTP/1.1" 200 72259
0:0:0:0:0:0:0:1 - - [02/Dec/2022:10:35:01 +0900] "GET /ithub/resources/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2022:10:35:01 +0900] "GET /ithub/resources/js/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [02/Dec/2022:10:35:01 +0900] "GET /ithub/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2022:10:35:01 +0900] "GET /ithub/resources/images/ithubLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2022:10:35:01 +0900] "GET /ithub/resources/images/cm-main-img.png HTTP/1.1" 200 83052
0:0:0:0:0:0:0:1 - - [02/Dec/2022:10:35:01 +0900] "GET /ithubimages/copy-icon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [02/Dec/2022:10:35:02 +0900] "GET /ithub/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [02/Dec/2022:10:35:10 +0900] "POST /ithub/login/checkLogin HTTP/1.1" 200 43618
0:0:0:0:0:0:0:1 - - [02/Dec/2022:10:35:10 +0900] "GET /ithub/resources/js/jquery.mCustomScrollbar.js HTTP/1.1" 200 92949
0:0:0:0:0:0:0:1 - - [02/Dec/2022:10:35:10 +0900] "GET /ithub/resources/upload/1usermPic.jpg HTTP/1.1" 200 261872
0:0:0:0:0:0:0:1 - - [02/Dec/2022:10:35:10 +0900] "GET /ithub/resources/images/resources/s5.png HTTP/1.1" 304 -
